Vaccine,Geography Type,Geography,FIPS,Season/Survey Year,Month,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,7,Age,18-64 Years at High Risk,NR †,NR †,656
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,1,Race and Ethnicity,Hispanic,37.8,33.3 to 42.3,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,12,Race and Ethnicity,Hispanic,34.2,29.8 to 38.6,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,Race and Ethnicity,"White, Non-Hispanic",41.2,39.2 to 43.2,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,2,Race and Ethnicity,"White, Non-Hispanic",42.2,40.0 to 44.4,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,3,Race and Ethnicity,"White, Non-Hispanic",42.8,40.6 to 45.0,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,4,Race and Ethnicity,"White, Non-Hispanic",42.9,40.7 to 45.1,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,7,Race and Ethnicity,"White, Non-Hispanic",NR †,NR †,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,5,Race and Ethnicity,"White, Non-Hispanic",42.9,40.7 to 45.1,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,7,Age,50-64 Years,NR †,NR †,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,8,Age,50-64 Years,1.2,0.6 to 1.8,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,9,Age,50-64 Years,7.2,5.4 to 9.0,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,10,Age,50-64 Years,27.6,24.5 to 30.7,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,11,Race and Ethnicity,Hispanic,29.3,25.4 to 33.2,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,10,Race and Ethnicity,Hispanic,20.1,16.8 to 23.4,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,9,Race and Ethnicity,Hispanic,8.5,6.5 to 10.5,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,10,Age,18-49 Years not at High Risk,14.9,12.5 to 17.3,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,9,Age,18-49 Years,7.2,5.4 to 9.0,1220
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,8,Age,18-49 Years,1.1,0.5 to 1.7,1220
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,7,Age,18-49 Years,NR †,NR †,1220
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,5,Age,18-49 Years,31.5,28.0 to 35.0,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,3,Age,18-49 Years,30.9,27.6 to 34.2,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,4,Age,18-49 Years,31.5,28.0 to 35.0,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,12,Age,18-49 Years not at High Risk,24.4,21.3 to 27.5,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,1,Age,18-49 Years not at High Risk,26.9,23.6 to 30.2,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,2,Age,18-49 Years not at High Risk,28.9,25.2 to 32.6,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,3,Age,18-49 Years not at High Risk,29.5,25.8 to 33.2,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,5,Race and Ethnicity,Hispanic,46.8,39.6 to 54.0,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,4,Race and Ethnicity,Hispanic,46.6,39.4 to 53.8,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,3,Race and Ethnicity,Hispanic,46.6,39.4 to 53.8,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,2,Race and Ethnicity,Hispanic,46.3,39.1 to 53.5,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,8,Race and Ethnicity,Hispanic,2.2,1.6 to 2.8,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,7,Race and Ethnicity,Hispanic,0.6,0.3 to 0.9,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,5,Race and Ethnicity,"White, Non-Hispanic",46.4,44.1 to 48.7,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,7,Race and Ethnicity,"White, Non-Hispanic",NR †,NR †,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,8,Race and Ethnicity,"White, Non-Hispanic",1.7,1.2 to 2.2,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,9,Race and Ethnicity,"White, Non-Hispanic",8.6,7.6 to 9.6,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,10,Race and Ethnicity,"White, Non-Hispanic",27.8,26.1 to 29.5,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,11,Race and Ethnicity,"White, Non-Hispanic",37.2,35.2 to 39.2,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,12,Race and Ethnicity,"White, Non-Hispanic",39.9,37.9 to 41.9,5411
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,9,Age,18-64 Years at High Risk,5.7,3.0 to 8.4,370
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,10,Age,18-64 Years at High Risk,25.2,19.3 to 31.1,370
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,3,Age,18-64 Years at High Risk,37.4,29.8 to 45.0,370
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,8,Race and Ethnicity,"Black, Non-Hispanic",NR †,NR †,1359
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,9,Race and Ethnicity,"Black, Non-Hispanic",8.7,5.2 to 12.2,1359
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,10,Race and Ethnicity,"Black, Non-Hispanic",18.1,12.8 to 23.4,1359
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,11,Race and Ethnicity,"Black, Non-Hispanic",23.6,17.9 to 29.3,1359
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,12,Race and Ethnicity,"Black, Non-Hispanic",27.6,21.3 to 33.9,1359
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,11,Age,18-49 Years not at High Risk,21.2,18.3 to 24.1,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,5,Age,>=65 Years,76.5,70.6 to 82.4,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,4,Age,>=65 Years,72.3,67.4 to 77.2,615
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,11,Age,18-64 Years at High Risk,32.5,25.8 to 39.2,370
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,12,Age,18-64 Years at High Risk,35.4,28.0 to 42.8,370
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,1,Age,18-64 Years at High Risk,36.7,29.1 to 44.3,370
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,2,Age,18-64 Years at High Risk,37.4,29.8 to 45.0,370
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,8,Age,50-64 Years,NR †,NR †,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,9,Age,50-64 Years,7.1,5.5 to 8.7,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,10,Age,50-64 Years,29.9,26.6 to 33.2,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,11,Age,50-64 Years,38.2,34.5 to 41.9,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,12,Age,50-64 Years,40.6,36.9 to 44.3,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,1,Age,50-64 Years,42.7,38.8 to 46.6,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,2,Age,50-64 Years,43.5,39.6 to 47.4,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,Race and Ethnicity,Hispanic,45.6,38.5 to 52.7,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,9,Age,18-49 Years not at High Risk,5.8,4.2 to 7.4,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,9,Age,18-49 Years,6.2,4.8 to 7.6,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,10,Age,18-49 Years,15.6,13.4 to 17.8,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,11,Age,18-49 Years,22.4,19.9 to 24.9,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,12,Age,18-49 Years,25.4,22.5 to 28.3,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,1,Age,18-49 Years,28.2,25.1 to 31.3,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,2,Age,18-49 Years,30.4,27.1 to 33.7,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,1,Age,>=65 Years,63.8,58.7 to 68.9,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,2,Age,>=65 Years,66.8,61.9 to 71.7,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,3,Age,>=65 Years,69.4,64.5 to 74.3,615
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,3,Age,18-49 Years not at High Risk,24.2,21.5 to 26.9,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,4,Age,18-49 Years not at High Risk,24.6,21.7 to 27.5,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,5,Age,18-49 Years not at High Risk,24.6,21.7 to 27.5,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,7,Age,18-49 Years not at High Risk,NR †,NR †,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,8,Age,18-49 Years not at High Risk,2.1,1.1 to 3.1,1376
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,1,Race and Ethnicity,"White, Non-Hispanic",45.2,42.9 to 47.5,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,2,Race and Ethnicity,"White, Non-Hispanic",45.9,43.6 to 48.2,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,3,Race and Ethnicity,"White, Non-Hispanic",46.2,43.9 to 48.5,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,4,Race and Ethnicity,"White, Non-Hispanic",46.3,44.0 to 48.6,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Age,18-64 Years at High Risk,38.9,33.2 to 44.6,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,2,Age,18-64 Years at High Risk,41.0,35.1 to 46.9,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,3,Age,18-64 Years at High Risk,42.6,36.3 to 48.9,566
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,11,Age,>=65 Years,56.3,51.0 to 61.6,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,12,Age,>=65 Years,61.2,56.1 to 66.3,615
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,4,Age,18-64 Years at High Risk,43.8,37.1 to 50.5,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,5,Age,18-64 Years at High Risk,43.8,37.1 to 50.5,566
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,8,Age,18-64 Years at High Risk,NR †,NR †,370
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,12,Age,50-64 Years,39.4,35.1 to 43.7,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,1,Age,50-64 Years,43.0,38.7 to 47.3,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,2,Age,50-64 Years,43.6,39.1 to 48.1,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,3,Age,50-64 Years,43.6,39.1 to 48.1,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,4,Age,50-64 Years,44.1,39.6 to 48.6,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,5,Age,50-64 Years,44.1,39.6 to 48.6,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,7,Race and Ethnicity,Hispanic,NR †,NR †,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,5,Race and Ethnicity,Hispanic,52.9,45.7 to 60.1,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,11,Race and Ethnicity,Hispanic,38.7,31.7 to 45.7,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,10,Race and Ethnicity,Hispanic,29.9,23.8 to 36.0,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,9,Race and Ethnicity,Hispanic,11.3,8.6 to 14.0,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,8,Race and Ethnicity,Hispanic,4.1,2.4 to 5.8,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,12,Race and Ethnicity,Hispanic,43.5,36.5 to 50.5,1398
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,10,Race and Ethnicity,"White, Non-Hispanic",29.9,28.1 to 31.7,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,11,Race and Ethnicity,"White, Non-Hispanic",39.1,37.0 to 41.2,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,12,Race and Ethnicity,"White, Non-Hispanic",42.1,40.0 to 44.2,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,11,Age,50-64 Years,35.3,31.8 to 38.8,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,12,Age,50-64 Years,38.8,35.1 to 42.5,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,Age,50-64 Years,40.5,36.8 to 44.2,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,2,Age,50-64 Years,42.2,38.5 to 45.9,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,3,Age,50-64 Years,42.5,38.6 to 46.4,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,4,Age,50-64 Years,42.5,38.6 to 46.4,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,4,Race and Ethnicity,Hispanic,45.6,40.8 to 50.4,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,3,Race and Ethnicity,Hispanic,43.9,39.2 to 48.6,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,5,Age,50-64 Years,42.5,38.6 to 46.4,1246
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,5,Race and Ethnicity,Hispanic,46.8,41.9 to 51.7,1606
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,8,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR †,NR †,482
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Race and Ethnicity,"White, Non-Hispanic",8.7,7.7 to 9.7,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,9,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",4.9,2.5 to 7.3,482
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Race and Ethnicity,"White, Non-Hispanic",26.8,25.0 to 28.6,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Race and Ethnicity,"White, Non-Hispanic",35.5,33.3 to 37.7,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Race and Ethnicity,"White, Non-Hispanic",38.8,36.6 to 41.0,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Race and Ethnicity,"White, Non-Hispanic",40.2,37.9 to 42.5,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,2,Race and Ethnicity,"White, Non-Hispanic",41.2,38.9 to 43.5,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,3,Race and Ethnicity,"White, Non-Hispanic",41.9,39.4 to 44.4,4803
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,11,Age,18-64 Years at High Risk,26.8,22.9 to 30.7,656
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,12,Age,18-64 Years at High Risk,29.7,25.6 to 33.8,656
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,Age,18-64 Years at High Risk,33.0,28.5 to 37.5,656
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,2,Age,18-64 Years at High Risk,34.5,29.8 to 39.2,656
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,3,Age,18-64 Years at High Risk,36.0,31.1 to 40.9,656
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,8,Age,50-64 Years,NR †,NR †,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Age,50-64 Years,7.0,5.2 to 8.8,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Age,50-64 Years,24.1,21.0 to 27.2,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Age,50-64 Years,32.1,28.4 to 35.8,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Age,50-64 Years,34.5,30.6 to 38.4,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Age,50-64 Years,36.6,32.7 to 40.5,1036
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,11,Age,18-49 Years,29.6,25.9 to 33.3,1176
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,3,Age,50-64 Years,43.5,39.6 to 47.4,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,4,Age,50-64 Years,43.7,39.8 to 47.6,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,5,Age,50-64 Years,43.7,39.8 to 47.6,1267
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,11,Age,50-64 Years,35.0,31.1 to 38.9,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,4,Age,18-49 Years,25.0,22.3 to 27.7,1628
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,5,Age,18-49 Years,25.0,22.3 to 27.7,1628
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,7,Age,18-49 Years,NR †,NR †,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,8,Age,18-49 Years,2.0,1.2 to 2.8,1683
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,3,Age,50-64 Years,42.9,38.6 to 47.2,1331
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,4,Age,50-64 Years,42.9,38.6 to 47.2,1331
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,5,Age,50-64 Years,42.9,38.6 to 47.2,1331
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,8,Age,50-64 Years,NR †,NR †,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,7,Age,50-64 Years,NR †,NR †,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,9,Age,50-64 Years,8.7,6.5 to 10.9,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,10,Age,50-64 Years,24.8,21.7 to 27.9,1259
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,10,Race and Ethnicity,Hispanic,29.0,23.7 to 34.3,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,11,Race and Ethnicity,Hispanic,33.7,28.4 to 39.0,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,12,Race and Ethnicity,Hispanic,43.0,36.6 to 49.4,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,1,Race and Ethnicity,Hispanic,49.5,42.6 to 56.4,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,2,Race and Ethnicity,Hispanic,52.5,45.3 to 59.7,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,3,Race and Ethnicity,Hispanic,52.9,45.7 to 60.1,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,4,Race and Ethnicity,Hispanic,52.9,45.7 to 60.1,1481
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,2,Race and Ethnicity,"White, Non-Hispanic",42.0,39.6 to 44.4,4940
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,3,Race and Ethnicity,"White, Non-Hispanic",42.2,39.8 to 44.6,4940
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,4,Race and Ethnicity,"White, Non-Hispanic",42.4,40.0 to 44.8,4940
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,5,Race and Ethnicity,"White, Non-Hispanic",42.4,40.0 to 44.8,4940
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,7,Race and Ethnicity,"White, Non-Hispanic",NR †,NR †,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,8,Race and Ethnicity,"White, Non-Hispanic",1.4,0.9 to 1.9,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,9,Race and Ethnicity,"White, Non-Hispanic",8.8,7.8 to 9.8,5773
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,4,Age,18-64 Years at High Risk,41.0,35.3 to 46.7,679
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,5,Age,18-64 Years at High Risk,41.0,35.3 to 46.7,679
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,7,Age,18-64 Years at High Risk,NR †,NR †,566
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,11,Age,18-49 Years not at High Risk,20.9,18.4 to 23.4,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,12,Age,18-49 Years not at High Risk,22.4,19.7 to 25.1,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,10,Age,18-49 Years not at High Risk,15.2,13.0 to 17.4,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,9,Age,18-49 Years not at High Risk,6.0,4.6 to 7.4,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,Age,18-49 Years not at High Risk,23.2,20.5 to 25.9,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,2,Age,18-49 Years not at High Risk,24.2,21.5 to 26.9,1382
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,2,Age,18-49 Years,24.4,21.7 to 27.1,1628
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,3,Age,18-49 Years,24.4,21.7 to 27.1,1628
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,7,Age,>=65 Years,NR †,NR †,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,8,Age,>=65 Years,NR †,NR †,615
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,9,Age,>=65 Years,16.5,12.6 to 20.4,615
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,3,Age,>=65 Years,76.0,70.7 to 81.3,683
Seasonal Influenza,States/Local Areas,Illinois,17,2021-22,10,Age,>=65 Years,43.3,38.0 to 48.6,615
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Age,18-64 Years at High Risk,35.9,30.4 to 41.4,566
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,4,Age,>=65 Years,79.6,72.0 to 87.2,683
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,5,Age,>=65 Years,80.6,72.4 to 88.8,683
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,8,Age,18-64 Years at High Risk,NR †,NR †,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Age,18-64 Years at High Risk,8.9,6.2 to 11.6,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Age,18-64 Years at High Risk,23.9,19.2 to 28.6,566
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Age,18-64 Years at High Risk,31.9,26.6 to 37.2,566
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,1,Age,>=18 Years,38.1,35.9 to 40.3,3901
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,2,Race and Ethnicity,"Asian, Non-Hispanic",31.6,20.8 to 42.4 ‡,180
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,3,Race and Ethnicity,"Asian, Non-Hispanic",32.3,21.5 to 43.1 ‡,180
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,5,Race and Ethnicity,"Asian, Non-Hispanic",32.3,21.5 to 43.1 ‡,180
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,10,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,4,Age,13-17 Years,36.9,30.7 to 43.1,833
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,5,Age,13-17 Years,36.9,30.7 to 43.1,833
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,7,Age,13-17 Years,NR †,NR †,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,8,Age,13-17 Years,6.4,3.8 to 9.0,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,9,Age,13-17 Years,12.8,9.7 to 15.9,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,10,Age,13-17 Years,27.5,23.3 to 31.7,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,3,Age,13-17 Years,36.9,30.7 to 43.1,833
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,11,Age,13-17 Years,36.8,32.3 to 41.3,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,5,Age,6 Months - 17 Years,45.1,41.2 to 49.0,3377
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,7,Age,6 Months - 17 Years,NR †,NR †,3486
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,8,Age,6 Months - 17 Years,5.6,3.8 to 7.4,3486
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,9,Age,6 Months - 17 Years,13.8,11.6 to 16.0,3486
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,10,Age,6 Months - 17 Years,31.6,28.7 to 34.5,3486
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,11,Age,6 Months - 17 Years,43.0,39.8 to 46.2,3486
Seasonal Influenza,States/Local Areas,Illinois,17,2012-13,12,Age,6 Months - 17 Years,47.4,44.1 to 50.7,3486
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,12,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,1,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,2,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,3,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,4,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,10,Race and Ethnicity,"Asian, Non-Hispanic",NR †,NR †,180
Influenza A (H1N1) 2009 Monovalent,States/Local Areas,Illinois,17,2009-10,5,Race and Ethnicity,"American Indian or Alaska Native, Non-Hispanic",NR †,NR †,31
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,12,Age,13-17 Years,40.2,35.6 to 44.8,1076
Seasonal Influenza,States/Local Areas,Illinois,17,2013-14,1,Age,13-17 Years,42.1,37.5 to 46.7,1076
